month,HistoricalNaturalFlow.AboveLeesFerry
1905-10-01,458528
1905-11-01,401644
1905-12-01,226871
1906-01-01,244314
1906-02-01,292534
1906-03-01,678174
1906-04-01,1204640
1906-05-01,3635101
1906-06-01,5014167
1906-07-01,2950460
1906-08-01,1605086
1906-09-01,1503159
1906-10-01,739807
1906-11-01,503006
1906-12-01,353312
1907-01-01,356760
1907-02-01,377349
1907-03-01,789130
1907-04-01,1465838
1907-05-01,2702179
1907-06-01,5967232
1907-07-01,5103491
1907-08-01,1920787
1907-09-01,955414
1907-10-01,608812
1907-11-01,377467
1907-12-01,268130
1908-01-01,276192
1908-02-01,379543
1908-03-01,664762
1908-04-01,1041224
1908-05-01,1595614
1908-06-01,2922360
1908-07-01,1924283
1908-08-01,1117477
1908-09-01,598088
1908-10-01,483627
1908-11-01,395707
1908-12-01,312145
1909-01-01,378989
1909-02-01,317458
1909-03-01,763721
1909-04-01,1120492
1909-05-01,3349297
1909-06-01,7203254
1909-07-01,4109919
1909-08-01,1880422
1909-09-01,1526396
1909-10-01,680646
1909-11-01,489990
1909-12-01,377548
1910-01-01,289322
1910-02-01,493565
1910-03-01,1403871
1910-04-01,1730475
1910-05-01,3298793
1910-06-01,3101705
1910-07-01,1373125
1910-08-01,866631
1910-09-01,630999
1910-10-01,616468
1910-11-01,445769
1910-12-01,345922
1911-01-01,367374
1911-02-01,482597
1911-03-01,902111
1911-04-01,951815
1911-05-01,2924637
1911-06-01,4124342
1911-07-01,2353784
1911-08-01,1016615
1911-09-01,593647
1911-10-01,1138004
1911-11-01,442055
1911-12-01,353041
1912-01-01,346041
1912-02-01,327037
1912-03-01,538143
1912-04-01,902408
1912-05-01,3684152
1912-06-01,6151096
1912-07-01,3206236
1912-08-01,1362372
1912-09-01,631542
1912-10-01,636273
1912-11-01,533066
1912-12-01,305039
1913-01-01,354040
1913-02-01,314036
1913-03-01,523341
1913-04-01,1829662
1913-05-01,3270773
1913-06-01,3144987
1913-07-01,1984477
1913-08-01,874871
1913-09-01,701627
1913-10-01,670352
1913-11-01,538369
1913-12-01,329845
1914-01-01,369539
1914-02-01,401134
1914-03-01,876055
1914-04-01,1593815
1914-05-01,4685651
1914-06-01,6296012
1914-07-01,3116693
1914-08-01,1405438
1914-09-01,783864
1914-10-01,964927
1914-11-01,527355
1914-12-01,334330
1915-01-01,304134
